model,k,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
KNN,10,,"[0.0381, 0.0022]","[0.0359, 0.0018]","[0.0342, 0.0016]","[0.0414, 0.0029]","[0.0285, 0.001]","[0.0985, 0.0033]","[0.0333, 0.0016]","[0.0304, 0.0013]","[0.0286, 0.0011]","[0.0391, 0.0023]","[0.0214, 0.0007]","[0.0363, 0.0023]","[0.0659, 0.0039]","[0.0889, 0.0044]","[0.1107, 0.0049]","[0.0396, 0.003]","[0.1963, 0.0063]"
KNN,20,,"[0.043, 0.0023]","[0.0406, 0.0019]","[0.0388, 0.0017]","[0.0462, 0.003]","[0.0327, 0.0011]","[0.1177, 0.0035]","[0.0379, 0.0017]","[0.0345, 0.0013]","[0.0329, 0.0012]","[0.0426, 0.0024]","[0.0255, 0.0007]","[0.0409, 0.0024]","[0.0772, 0.0042]","[0.1042, 0.0048]","[0.1307, 0.0054]","[0.0439, 0.0032]","[0.2424, 0.007]"
KNN,30,,"[0.0444, 0.0023]","[0.0421, 0.0019]","[0.0403, 0.0017]","[0.0485, 0.0031]","[0.0343, 0.0011]","[0.1251, 0.0036]","[0.0391, 0.0017]","[0.0365, 0.0013]","[0.0344, 0.0012]","[0.044, 0.0024]","[0.0271, 0.0007]","[0.0412, 0.0024]","[0.0816, 0.0044]","[0.1112, 0.005]","[0.1368, 0.0054]","[0.0473, 0.0034]","[0.2596, 0.0073]"
KNN,40,,"[0.0466, 0.0023]","[0.044, 0.002]","[0.042, 0.0017]","[0.0503, 0.0032]","[0.0353, 0.0011]","[0.1293, 0.0037]","[0.0408, 0.0017]","[0.0375, 0.0014]","[0.0353, 0.0012]","[0.0461, 0.0024]","[0.0277, 0.0007]","[0.0447, 0.0026]","[0.0851, 0.0044]","[0.1138, 0.005]","[0.1413, 0.0056]","[0.05, 0.0035]","[0.2666, 0.0074]"
KNN,50,,"[0.0471, 0.0024]","[0.0445, 0.002]","[0.0426, 0.0017]","[0.0512, 0.0032]","[0.0358, 0.0011]","[0.1314, 0.0038]","[0.0415, 0.0017]","[0.0379, 0.0014]","[0.0358, 0.0012]","[0.046, 0.0024]","[0.0282, 0.0008]","[0.0444, 0.0025]","[0.0859, 0.0044]","[0.1156, 0.0051]","[0.1435, 0.0056]","[0.049, 0.0035]","[0.2706, 0.0074]"
KNN,60,,"[0.0473, 0.0024]","[0.0448, 0.002]","[0.0428, 0.0017]","[0.0517, 0.0032]","[0.0361, 0.0011]","[0.1323, 0.0037]","[0.0416, 0.0017]","[0.0383, 0.0014]","[0.0359, 0.0012]","[0.0459, 0.0024]","[0.0284, 0.0008]","[0.045, 0.0025]","[0.0858, 0.0044]","[0.1164, 0.0051]","[0.1436, 0.0056]","[0.0485, 0.0034]","[0.273, 0.0074]"
KNN,70,,"[0.0479, 0.0024]","[0.0453, 0.002]","[0.0433, 0.0017]","[0.0523, 0.0032]","[0.0365, 0.0011]","[0.1342, 0.0038]","[0.0421, 0.0017]","[0.0389, 0.0014]","[0.0363, 0.0012]","[0.0458, 0.0024]","[0.0288, 0.0008]","[0.0456, 0.0025]","[0.0865, 0.0044]","[0.1179, 0.0051]","[0.1452, 0.0056]","[0.0484, 0.0034]","[0.2781, 0.0075]"
KNN,80,,"[0.0483, 0.0024]","[0.0455, 0.002]","[0.0435, 0.0018]","[0.0527, 0.0033]","[0.0367, 0.0012]","[0.1347, 0.0038]","[0.0422, 0.0017]","[0.0388, 0.0014]","[0.0366, 0.0012]","[0.0469, 0.0024]","[0.0289, 0.0008]","[0.0469, 0.0026]","[0.0861, 0.0044]","[0.1168, 0.0051]","[0.1456, 0.0056]","[0.0497, 0.0034]","[0.2786, 0.0075]"
KNN,90,,"[0.0482, 0.0024]","[0.0455, 0.002]","[0.0435, 0.0018]","[0.0528, 0.0033]","[0.0367, 0.0011]","[0.1351, 0.0038]","[0.0421, 0.0017]","[0.0386, 0.0014]","[0.0365, 0.0012]","[0.0469, 0.0025]","[0.029, 0.0008]","[0.0462, 0.0026]","[0.0861, 0.0044]","[0.1171, 0.0051]","[0.1465, 0.0056]","[0.0495, 0.0034]","[0.2798, 0.0075]"
KNN,100,,"[0.0481, 0.0024]","[0.0454, 0.002]","[0.0434, 0.0018]","[0.0526, 0.0033]","[0.0367, 0.0012]","[0.1348, 0.0038]","[0.0421, 0.0017]","[0.0388, 0.0014]","[0.0365, 0.0012]","[0.0469, 0.0025]","[0.029, 0.0008]","[0.0467, 0.0026]","[0.0861, 0.0044]","[0.1172, 0.0051]","[0.1457, 0.0056]","[0.0495, 0.0034]","[0.2787, 0.0075]"
