model,k,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
KNN,10,,"[0.0551, 0.0027]","[0.052, 0.0023]","[0.0497, 0.002]","[0.0602, 0.0035]","[0.0416, 0.0014]","[0.1221, 0.0035]","[0.0479, 0.002]","[0.0442, 0.0016]","[0.0415, 0.0014]","[0.0551, 0.0028]","[0.0322, 0.0009]","[0.049, 0.0024]","[0.0729, 0.0038]","[0.099, 0.0044]","[0.1215, 0.0048]","[0.0426, 0.0029]","[0.2233, 0.0064]"
KNN,20,,"[0.0605, 0.0028]","[0.057, 0.0024]","[0.0546, 0.0021]","[0.0655, 0.0037]","[0.0461, 0.0014]","[0.138, 0.0038]","[0.0526, 0.0021]","[0.0486, 0.0017]","[0.0465, 0.0015]","[0.0601, 0.0029]","[0.0361, 0.001]","[0.0536, 0.0025]","[0.0814, 0.0041]","[0.1098, 0.0047]","[0.1395, 0.0053]","[0.0482, 0.0032]","[0.2578, 0.0069]"
KNN,30,,"[0.0619, 0.0028]","[0.0587, 0.0024]","[0.0562, 0.0021]","[0.0667, 0.0037]","[0.0477, 0.0015]","[0.144, 0.0038]","[0.0549, 0.0021]","[0.0504, 0.0017]","[0.048, 0.0015]","[0.0613, 0.003]","[0.0377, 0.001]","[0.0559, 0.0026]","[0.0836, 0.0041]","[0.1143, 0.0048]","[0.1438, 0.0054]","[0.049, 0.0033]","[0.2712, 0.0071]"
KNN,40,,"[0.0631, 0.0029]","[0.0599, 0.0024]","[0.0575, 0.0022]","[0.0683, 0.0038]","[0.0488, 0.0015]","[0.1475, 0.0039]","[0.0557, 0.0021]","[0.052, 0.0018]","[0.0491, 0.0016]","[0.0624, 0.003]","[0.0386, 0.001]","[0.0578, 0.0027]","[0.0864, 0.0042]","[0.1176, 0.0048]","[0.1466, 0.0054]","[0.0498, 0.0033]","[0.2772, 0.0072]"
KNN,50,,"[0.0637, 0.0029]","[0.0606, 0.0024]","[0.058, 0.0022]","[0.0687, 0.0038]","[0.0492, 0.0015]","[0.1487, 0.0039]","[0.0565, 0.0022]","[0.0528, 0.0018]","[0.0491, 0.0015]","[0.063, 0.003]","[0.0388, 0.001]","[0.0592, 0.0028]","[0.0882, 0.0043]","[0.1207, 0.0049]","[0.1476, 0.0054]","[0.0504, 0.0033]","[0.2793, 0.0072]"
KNN,60,,"[0.0655, 0.0029]","[0.0619, 0.0025]","[0.0592, 0.0022]","[0.0707, 0.0038]","[0.0499, 0.0015]","[0.1508, 0.0039]","[0.0575, 0.0022]","[0.053, 0.0018]","[0.0498, 0.0015]","[0.0638, 0.003]","[0.0392, 0.001]","[0.0597, 0.0028]","[0.0895, 0.0042]","[0.1225, 0.0049]","[0.1508, 0.0054]","[0.051, 0.0033]","[0.2822, 0.0072]"
KNN,70,,"[0.0651, 0.0029]","[0.0619, 0.0025]","[0.0593, 0.0022]","[0.0701, 0.0038]","[0.05, 0.0015]","[0.1512, 0.0039]","[0.0582, 0.0022]","[0.0538, 0.0018]","[0.0504, 0.0016]","[0.0647, 0.003]","[0.0393, 0.001]","[0.0597, 0.0028]","[0.0905, 0.0043]","[0.1232, 0.0049]","[0.1523, 0.0055]","[0.0522, 0.0033]","[0.2839, 0.0072]"
KNN,80,,"[0.065, 0.0029]","[0.0618, 0.0025]","[0.0592, 0.0022]","[0.0697, 0.0038]","[0.0501, 0.0015]","[0.1515, 0.0039]","[0.058, 0.0022]","[0.0533, 0.0018]","[0.0502, 0.0015]","[0.0644, 0.003]","[0.0394, 0.001]","[0.0602, 0.0028]","[0.0898, 0.0043]","[0.1232, 0.0049]","[0.1518, 0.0055]","[0.0518, 0.0033]","[0.2855, 0.0072]"
KNN,90,,"[0.0656, 0.0029]","[0.0622, 0.0025]","[0.0596, 0.0022]","[0.0709, 0.0039]","[0.0503, 0.0015]","[0.1524, 0.0039]","[0.058, 0.0022]","[0.0537, 0.0018]","[0.0507, 0.0016]","[0.0646, 0.003]","[0.0396, 0.001]","[0.0605, 0.0028]","[0.0897, 0.0042]","[0.1228, 0.0049]","[0.1524, 0.0055]","[0.0519, 0.0033]","[0.2865, 0.0072]"
KNN,100,,"[0.0655, 0.0029]","[0.0621, 0.0025]","[0.0595, 0.0022]","[0.0705, 0.0038]","[0.0503, 0.0015]","[0.1524, 0.0039]","[0.058, 0.0022]","[0.0539, 0.0018]","[0.0504, 0.0016]","[0.0654, 0.003]","[0.0398, 0.001]","[0.0607, 0.0028]","[0.0888, 0.0042]","[0.1228, 0.0049]","[0.1521, 0.0055]","[0.0524, 0.0033]","[0.2867, 0.0072]"
